2021-07-22 15:35:39 startup archives install
2021-07-22 15:35:39 install base-passwd:amd64 <none> 3.5.39
2021-07-22 15:35:39 status half-installed base-passwd:amd64 3.5.39
2021-07-22 15:35:39 status unpacked base-passwd:amd64 3.5.39
2021-07-22 15:35:39 status unpacked base-passwd:amd64 3.5.39
2021-07-22 15:35:39 configure base-passwd:amd64 3.5.39 3.5.39
2021-07-22 15:35:39 status unpacked base-passwd:amd64 3.5.39
2021-07-22 15:35:39 status half-configured base-passwd:amd64 3.5.39
2021-07-22 15:35:40 status installed base-passwd:amd64 3.5.39
2021-07-22 15:35:40 startup archives install
2021-07-22 15:35:40 install base-files:amd64 <none> 9.4ubuntu4
2021-07-22 15:35:40 status half-installed base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status unpacked base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status half-configured base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 status installed base-files:amd64 9.4ubuntu4
2021-07-22 15:35:40 startup archives install
2021-07-22 15:35:40 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2021-07-22 15:35:40 status half-configured dpkg 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg 1.18.4ubuntu1
2021-07-22 15:35:40 status half-installed dpkg 1.18.4ubuntu1
2021-07-22 15:35:40 status half-installed dpkg 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 status half-configured dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 status installed dpkg:amd64 1.18.4ubuntu1
2021-07-22 15:35:40 startup archives install
2021-07-22 15:35:40 install libc6:amd64 <none> 2.23-0ubuntu3
2021-07-22 15:35:40 status half-installed libc6:amd64 2.23-0ubuntu3
2021-07-22 15:35:41 status unpacked libc6:amd64 2.23-0ubuntu3
2021-07-22 15:35:41 status unpacked libc6:amd64 2.23-0ubuntu3
2021-07-22 15:35:41 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2021-07-22 15:35:41 status unpacked libc6:amd64 2.23-0ubuntu3
2021-07-22 15:35:41 status unpacked libc6:amd64 2.23-0ubuntu3
